src,relation,dst
9,Potter family,323
9,in-laws,340
9,paternal ancestors,311
9,distant relatives,312
10,father,341
10,mother,342
11,possible relative,343
12,paternal grandfather,324
12,paternal grandmother,325
12,maternal grandfather,344
12,maternal grandmother,345
12,great-aunt,346
12,great-uncle,347
12,great-aunt,348
12,father,24
12,mother,285
12,younger brother,20
12,younger brother,292
12,sister-in-law,293
12,younger brother,18
12,younger brother,17
12,sister-in-law,289
12,younger brother,309
12,sister-in-law,310
12,younger sister,286
12,brother-in-law,287
12,Two paternal uncles,349
12,Uncle,350
12,Cousin,351
12,uncle,352
12,maternal uncle,353
12,maternal uncle,354
12,wife,298
12,daughter,299
12,daughter,300
12,son,301
12,father-in-law,355
12,mother-in-law,356
12,sister-in-law,357
12,niece,285
12,niece,295
12,nephew,290
12,niece,291
12,niece,59
12,nephew,284
12,nephew,306
12,nephew,307
12,niece,305
12,Weasley family,340
12,House of Black,312
13,paternal grandfather,324
13,paternal grandmother,325
13,maternal grandfather,344
13,maternal grandmother,345
13,father,24
13,mother,285
13,older brother,297
13,older brother,296
13,older brother,292
13,older brother,18
13,older brother,17
13,younger sister,286
13,wife,310
13,daughter,59
13,son,284
13,great-aunt,358
13,maternal uncle,354
13,maternal uncle,353
13,uncle,352
13,Uncle,350
13,Cousin,351
13,Paternal uncles,359
13,brother-in-law,287
13,nephew,306
13,nephew,307
13,niece,317
13,sister-in-law,298
13,niece,299
13,niece,300
13,nephew,301
13,sister-in-law,293
13,niece,294
13,niece,295
13,sister-in-law,289
13,nephew,290
13,niece,291
13,father-in-law,280
13,mother-in-law,281
13,Weasley family,340
13,House of Black,312
14,father,24
14,mother,285
14,older brother,297
14,older brother,296
14,younger brother,288
14,younger brother,17
14,younger brother,283
14,younger sister,286
14,wife,293
14,daughter,294
14,daughter,295
14,great-aunt,346
14,Uncle,350
14,Cousin,351
14,uncle,352
14,maternal uncle,353
14,maternal uncle,354
14,paternal grandfather,324
14,paternal grandmother,360
14,maternal grandfather,344
14,maternal grandmother,345
14,sister-in-law,298
14,niece,299
14,niece,300
14,nephew,301
14,sister-in-law,289
14,nephew,290
14,niece,291
14,sister-in-law,310
14,niece,59
14,nephew,284
14,brother-in-law,287
14,nephew,306
14,nephew,307
14,niece,317
14,Weasley family,340
14,House of Black,312
15,Possible great-grandmother,361
15,Father,362
15,Mother,363
15,brother or brother-in-law,352
15,brother,354
15,brother,353
15,great-aunt,346
15,uncle,347
15,aunt,348
15,possible aunt,358
15,Second cousin,364
15,Nephew,365
15,husband,24
15,son,297
15,son,296
15,son,292
15,son,288
15,son,17
15,son,283
15,daughter,366
15,granddaughter,299
15,granddaughter,300
15,grandson,301
15,granddaughter,294
15,granddaughter,295
15,grandson,290
15,granddaughter,291
15,granddaughter,59
15,grandson,284
15,grandson,306
15,grandson,307
15,granddaughter,326
15,father-in-law,324
15,mother-in-law,325
15,Two brothers-in-law,367
15,son-in-law,287
15,daughter-in-law,310
15,daughter-in-law,298
15,daughter-in-law,289
15,daughter-in-law,293
16,possibly,368
17,paternal grandfather,324
17,paternal grandmother,360
17,maternal grandfather,344
17,maternal grandmother,345
17,father,24
17,née Prewett,285
17,older brother,297
17,older brother,296
17,older brother,292
17,older twin brother,288
17,younger brother,283
17,younger sister,286
17,wife,289
17,son,290
17,daughter,291
17,uncle,354
17,uncle,353
17,Paternal uncles,359
17,uncle,352
17,Uncle,350
17,Cousin,351
17,sister-in-law,298
17,niece,299
17,niece,300
17,nephew,301
17,sister-in-law,293
17,niece,294
17,niece,295
17,sister-in-law,310
17,niece,59
17,nephew,284
17,brother-in-law,287
17,nephew,306
17,nephew,307
17,niece,305
17,Weasley family,340
17,Black family,369
18,paternal grandfather,324
18,paternal grandmother,325
18,father,24
18,mother,285
18,older brother,297
18,older brother,296
18,older brother,292
18,younger twin brother,17
18,younger brother,283
18,younger sister,286
18,maternal grandfather,344
18,maternal grandmother,345
18,maternal uncle,354
18,maternal uncle,353
18,uncle,352
18,nephew,290
18,niece,291
18,sister-in-law,298
18,brother-in-law,287
18,sister-in-law,310
18,sister-in-law,289
18,Weasley family,340
18,House of Black,312
19,father,24
19,mother,285
19,older brother,297
19,older brother,296
19,older brother,292
19,older brother,288
19,older brother,17
19,older brother,283
19,husband,287
19,son,306
19,son,307
19,daughter,326
19,sister-in-law,310
19,niece,59
19,nephew,284
19,sister-in-law,289
19,nephew,290
19,niece,291
19,sister-in-law,298
19,niece,299
19,niece,300
19,nephew,301
19,sister-in-law,293
19,niece,294
19,niece,295
19,At least two paternal uncles,370
19,uncle,352
19,Uncle,350
19,maternal uncle,353
19,maternal uncle,354
19,Cousin,351
19,great-aunt,346
19,paternal grandfather,324
19,paternal grandmother,325
19,maternal grandfather,344
19,maternal grandmother,345
19,Weasley family,340
19,distant relatives,312
19,father-in-law,316
19,mother-in-law,305
20,paternal grandfather,324
20,paternal grandmother,325
20,maternal grandfather,344
20,maternal grandmother,345
20,Uncle,350
20,Cousin,351
20,uncle,352
20,maternal uncle,354
20,maternal uncle,353
20,Paternal uncles,359
20,father,24
20,mother,285
20,older brother,297
20,younger brother,292
20,younger brother,288
20,younger brother,17
20,younger brother,283
20,younger sister,286
20,sister-in-law,298
20,brother-in-law,287
20,sister-in-law,310
20,sister-in-law,293
20,sister-in-law,289
20,niece,299
20,niece,300
20,nephew,301
20,niece,294
20,niece,295
20,nephew,6
20,nephew,182
20,niece,4
20,niece,59
20,nephew,284
20,nephew,290
20,niece,291
20,Black family,369
21,Grandmother,371
21,possible relative,372
21,possible relative,373
22,father,374
22,mother,375
22,First husband,376
22,Second husband,377
22,third husband,378
22,One son,379
23,possibly,23
24,father,324
24,mother,325
24,2 brothers,380
24,brother or brother-in-law,352
24,Brother or brother-in-law,381
24,maternal grandfather,382
24,maternal grandmother,383
24,maternal uncle,384
24,maternal aunt,385
24,wife,285
24,father-in-law,344
24,mother-in-law,345
24,son,297
24,son,296
24,son,292
24,son,288
24,son,17
24,son,283
24,daughter,286
24,possible cousin,386
24,maternal uncle,387
24,maternal aunt,388
24,Male cousin,389
24,2 female cousins,390
24,Male cousin,389
24,Female cousin,391
24,aunt or aunt-in-law,358
24,aunt-in-law,346
24,Nephew,365
24,brother-in-law,354
24,brother-in-law,353
24,daughter-in-law,298
24,daughter-in-law,293
24,daughter-in-law,289
24,daughter-in-law,310
24,son-in-law,287
24,granddaughter,299
24,granddaughter,300
24,grandson,301
24,granddaughter,294
24,granddaughter,295
24,grandson,290
24,granddaughter,291
24,granddaughter,59
24,grandson,284
24,grandson,306
24,grandson,307
24,granddaughter,305
24,House of Black,312
25,Father †,392
25,mother,393
25,Stepfather,394
25,Several half-siblings,395
26,possibly,27
27,possibly,26
28,possibly,396
29,possibly,397
29,possibly,87
31,possibly,31
32,mother,398
32,possible relative,399
33,possible relative,400
33,possible relative,95
34,father,401
34,mother,402
34,twin sister,131
35,Father,362
35,Mother,363
35,younger sister,187
36,possibly,37
37,possibly,36
38,possibly,403
38,possibly,38
38,possibly,39
39,possibly,403
39,possibly,38
39,possibly,38
40,father,404
41,possibly,405
42,father,406
42,uncle,407
43,possibly,408
43,possibly,409
43,possibly,44
43,possibly,410
43,possibly,411
43,possibly,412
43,possibly,413
44,father,408
44,mother,409
44,brother,410
44,brother,411
44,husband,412
44,Nieces and nephews,414
44,possible paternal ancestor,415
44,possible paternal relative,43
44,maternal great-grandmother,413
44,maternal grandfather,416
44,maternal grandmother,417
45,possibly,46
46,possibly,418
48,father,419
48,mother,420
48,wife,117
48,paternal grandfather,421
48,paternal grandmother,422
48,great-uncle,423
48,great-aunt,424
48,possible relative,387
48,possible relative,388
49,father,425
49,mother,426
49,wife,427
49,son,428
49,mother-in-law,429
49,father-in-law,430
49,in-laws,431
49,in-laws,312
49,Lupin family,432
50,possibly,51
50,possibly,51
51,possibly,51
51,possibly,50
52,father,433
53,possibly,78
53,possibly,434
53,possibly,435
54,Father,362
54,Husband,17
54,Son,290
54,Daughter,291
54,Father-in-law,24
54,Mother-in-law,285
54,Brother-in-law,288
54,Various Weasley in-laws,436
55,possibly,101
56,father,437
56,mother,438
56,maternal half-brother,439
56,step-father,440
56,possible relation,441
59,paternal grandfather,24
59,paternal grandmother,285
59,maternal grandfather,280
59,maternal grandmother,281
59,father,283
59,mother,310
59,brother,284
59,uncle by Marriage,287
59,paternal aunt,286
59,paternal cousin,6
59,paternal cousin,307
59,paternal cousin,4
59,paternal uncle,288
59,paternal uncle,17
59,aunt,289
59,paternal cousin,290
59,paternal cousin,291
59,paternal uncle,292
59,aunt,293
59,paternal cousin,294
59,paternal cousin,295
59,paternal uncle,308
59,aunt,298
59,paternal cousin,299
59,paternal cousin,300
59,paternal cousin,301
59,paternal uncle,20
59,Weasley family,340
59,Granger family,442
59,House of Black,312
60,father,443
60,mother,444
60,brother,445
60,sister,446
60,alleged relative,447
60,aunt,448
61,father,449
61,brother,64
62,possibly,450
63,possibly,160
64,father,449
64,brother,61
65,Father,362
65,Mother,363
67,Father,362
67,Mother,363
67,Three ex-wives,451
67,Seventeen rumoured children,452
68,father,453
68,mother,454
68,possible cousin,455
70,paternal/maternal great-great-grandfather,228
70,paternal/maternal great-great-grandmother,456
70,paternal great-grandfather/maternal great-great uncle,457
70,paternal great-grandmother,458
70,maternal great-grandfather/paternal great-great uncle,459
70,maternal great-grandmother,460
70,paternal grandfather/maternal first cousin twice removed,461
70,paternal grandmother,462
70,maternal grandfather/paternal first cousin twice removed,463
70,maternal grandmother,464
70,father/second cousin once removed,227
70,mother/second cousin once removed,225
70,brother/third cousin,465
70,paternal aunt/maternal second cousin once removed,348
70,paternal uncle by marriage,347
70,maternal uncle/paternal second cousin once removed,235
70,maternal uncle/paternal second cousin once removed,466
70,maternal aunt by marriage,467
70,maternal first cousin/paternal third cousin,468
70,maternal first cousin/paternal third cousin,429
70,maternal first cousin/paternal third cousin,469
70,maternal first cousin once removed/paternal third cousin once removed,470
70,maternal first cousin once removed/paternal third cousin once removed,471
70,maternal first cousin twice removed/paternal third cousin twice removed,428
70,maternal first cousin once removed/paternal third cousin once removed,472
70,maternal first cousin twice removed/paternal third cousin twice removed,473
70,House of Black,312
71,father,474
71,mother,475
73,possibly,476
73,possibly,477
73,possibly,117
74,father,478
74,mother,479
75,possibly,480
77,Mother,363
77,Father,362
78,possible relative,435
78,possible relative,434
78,possible relative,53
79,descendant,481
79,possible descendant,482
79,possible descendant,90
79,possible descendant,483
80,possibly,484
81,Cousin,351
81,granddaughter,485
83,possibly,125
84,possibly,84
85,maternal grandfather,466
85,maternal grandmother,467
85,father,430
85,mother,429
85,maternal aunt,468
85,maternal uncle by marriage,197
85,maternal cousin,470
85,maternal aunt,469
85,maternal uncle by marriage,486
85,maternal cousin,472
85,husband,487
85,son,428
85,father-in-law,425
85,mother-in-law,426
85,Tonks family,431
85,maternal family,312
85,in-laws,432
86,possibly,488
87,possibly,29
87,possibly,397
88,possibly,88
90,father,482
90,possible relative,483
90,possible relative,481
90,possible distant relative,79
91,mother,489
91,brother,490
91,sister-in-law,491
91,fiancée,199
91,Nephew,365
92,mother,489
92,brother,91
92,wife,492
92,Child,493
92,grandson,494
92,granddaughter-in-law,495
92,father-in-law,496
92,mother-in-law,497
92,sister-in-law,498
92,great grandson,499
92,great grandson,500
92,Scamander family,501
93,Grandmother,371
93,Grandfather,502
93,Grandfather,502
93,Mother,363
93,Sister,503
93,Brother,504
93,Brother,504
94,Daughter or daughter in law,505
94,Granddaughter,506
94,granddaughter,93
94,Grandson,507
95,possible relative,33
95,possible relative,400
96,possible,508
97,possible,96
98,brother,114
98,possibly,116
99,Nine generations of witches and warlocks,509
99,possible relative,462
99,possible relative,47
100,paternal grandfather,425
100,paternal grandmother,426
100,maternal grandfather,430
100,maternal grandmother,429
100,father,487
100,mother,471
100,maternal great-aunt,468
100,maternal great-uncle,197
100,maternal great-aunt,469
100,maternal great-uncle,486
100,Lupin family,432
100,maternal family,431
100,distant relatives,312
101,possible relative,55
102,mother,510
102,father,511
102,sister,103
103,father,511
103,mother,510
103,sister,102
104,niece,512
105,mother,513
106,mother,514
106,father,515
106,wife,516
106,son,517
106,daughter,518
107,Father,362
107,Uncle,350
108,possibly,519
109,possibly,520
110,father,521
110,mother,522
110,possible relative,523
112,grandfather,524
112,grandmother,525
112,aunt,526
112,uncle,527
112,aunt by marriage,528
112,cousins,529
113,mother,530
114,sister,98
114,possibly,116
116,possibly,98
116,possibly,114
117,mother,477
117,husband,48
117,mother-in-law,420
117,father-in-law,419
117,paternal grandmother-in-law,422
117,in-laws,531
117,possible relative,476
117,possible relative,73
118,Mother,363
118,Father,362
118,aunt,532
118,cousin,533
120,mother,534
121,Father †,392
121,Mother †,535
122,father,536
122,mother,537
125,possibly,83
126,father,538
126,mother,539
126,ex-husband,540
126,great-great-grandmother,541
127,possibly,163
128,father,542
129,daughter,130
130,mother,129
131,father,401
131,mother,402
131,twin sister,34
131,"husband, alternate reality",283
131,"son, alternate reality",543
133,father,544
133,mother,545
133,Wife,546
133,Son,547
133,Daughter †,548
133,paternal grandfather,549
133,ancestor,550
133,ancestor,551
134,possibly,552
134,possibly,553
134,possibly,554
135,possibly,555
136,wife,556
136,daughter,495
136,son-in-law,494
136,grandson,499
136,grandson,500
137,father,136
137,mother,556
137,husband,494
137,son,499
137,son,500
137,grandfather-in-law,490
137,grandmother-in-law,557
137,possibly,140
138,father,558
138,mother,559
138,Two older sisters,560
139,mother,561
140,distant relative,557
140,distant relative,498
140,distant relative,494
140,distant relative,562
140,distant relative,563
140,distant relatives,501
142,possibly,564
142,possibly,565
142,possibly,566
143,father,567
143,mother,568
144,possibly,569
145,brother,147
145,Davies family,570
146,Grandmother,371
146,Sister,503
147,younger brother,145
147,Davies family,570
149,father,571
149,mother,572
149,grandfather,573
149,spouse,574
150,possibly,575
150,possibly,576
150,possibly,577
152,possible ancestor,578
152,possible ancestor,579
152,possible relative,580
152,possible relative,581
152,Boot family,582
153,father,583
153,uncle,584
153,possible ancestor,585
154,mother,586
154,possibly,587
155,mother,588
157,mother,589
158,possibly,158
159,possibly,159
160,possibly,160
161,father,590
161,possibly,464
162,possibly,591
163,possibly,127
164,Sister,503
164,husband,592
164,daughter,166
165,Wife,546
165,Sister-in-law,593
165,daughter,166
166,Father,362
166,Mother,363
166,Maternal aunt,594
166,Snyde family,595
167,possibly,31
168,descendant,206
168,descendant,596
168,descendant,597
168,descendant,598
168,descendant,599
168,descendant,207
168,descendant,600
168,descendant,601
168,descendant,602
168,descendant,335
168,descendant,470
169,father,466
169,mother,467
169,sister,468
169,sister,469
169,husband,603
169,daughter,471
169,son-in-law,487
169,grandson,604
169,brother-in-law,197
169,niece,470
169,brother-in-law,192
169,nephew,472
169,paternal aunt,225
169,paternal uncle by marriage,227
169,paternal uncle,235
169,paternal first cousin,605
169,paternal first cousin,606
169,paternal grandfather,463
169,paternal grandmother,464
169,House of Black,312
169,in-laws,431
170,father,607
170,Mother†,608
170,Slughorn family,609
171,mother,610
171,Six stepfathers  †,611
172,possibly,612
174,possibly,23
175,mother,613
176,Mother,363
176,Sister,503
176,Grandmother,371
176,Grandfather,502
177,father,614
177,mother,615
177,Brother,504
178,Father,362
178,Rosier family,616
179,possible relative,617
179,possible father,618
179,possible aunt,467
179,possible uncle by marriage,466
179,possible first cousin,468
179,possible first cousin,429
179,possible first cousin,469
179,possible first cousin,429
179,possible relative,178
179,Rosier family,616
180,possibly,180
181,father,619
181,mother,620
181,daughter,470
181,paternal grandfather,621
181,paternal grandmother,622
181,maternal grandfather,600
181,maternal uncle,601
181,ancestor,207
181,distant relative,206
181,ancestor,168
181,ancestor,623
181,distant cousin,287
182,paternal ancestor,303
182,paternal ancestor,304
182,paternal grandfather,8
182,paternal grandmother,305
182,maternal grandfather,24
182,maternal grandmother,285
182,father,287
182,mother,286
182,brother,306
182,sister,305
182,maternal uncle,308
182,maternal aunt by marriage,298
182,maternal first cousin,299
182,maternal first cousin,300
182,maternal first cousin,301
182,maternal uncle,20
182,maternal uncle,292
182,maternal aunt by marriage,293
182,maternal first cousin,285
182,maternal first cousin,295
182,maternal uncle,18
182,maternal uncle,17
182,maternal aunt by marriage,289
182,maternal first cousin,290
182,maternal first cousin,291
182,maternal uncle,309
182,maternal aunt by marriage,310
182,maternal first cousin,59
182,maternal first cousin,284
182,paternal ancestors,311
182,House of Black,312
183,possible relative,624
184,father,625
184,mother,626
184,possibly,627
185,possibly,628
186,Father,362
186,uncle,629
186,Aunt,630
187,Father,362
187,Mother,363
187,Sister,503
188,possible father,261
189,Father,362
189,Mother,363
189,possible relation,631
191,father,472
191,mother,632
191,paternal grandfather,192
191,paternal grandmother,469
191,maternal aunt,204
191,first cousin once removed,470
191,Malfoy family,633
191,Greengrass family,634
191,House of Black,312
191,ancestor,635
192,paternal ancestor,636
192,paternal ancestor,637
192,paternal ancestor,638
192,paternal ancestor,639
192,paternal ancestor,640
192,father,193
192,wife,469
192,son,472
192,daughter-in-law,632
192,grandson,473
192,father-in-law,466
192,mother-in-law,467
192,sister-in-law,468
192,brother-in-law,197
192,sister-in-law,429
192,brother-in-law,430
192,niece,470
192,niece,471
192,great-nephew,428
192,Malfoy family,633
192,in-laws,312
193,ancestor,636
193,ancestor,637
193,ancestor,638
193,ancestor,640
193,ancestor,639
193,son,192
193,daughter-in-law,469
193,grandson,472
193,grandaughter-in-law,641
193,great-grandson,473
194,paternal great-great-grandfather,228
194,paternal great-great-grandmother,456
194,paternal great-grandfather,459
194,paternal great-grandmother,460
194,paternal grandfather,463
194,paternal grandmother,464
194,father,466
194,mother,467
194,sister,468
194,brother-in-law,197
194,sister,429
194,brother-in-law,430
194,paternal aunt,225
194,paternal uncle by marriage/second cousin once removed,227
194,paternal first cousin/third cousin,605
194,paternal first cousin/third cousin,606
194,possible aunt,617
194,possible uncle,618
194,possible cousin,179
194,possible cousin,178
194,husband,192
194,son,472
194,daughter-in-law,632
194,grandson,473
194,father-in-law,193
194,niece,470
194,niece,471
195,Father,362
195,Mother,363
196,paternal ancestor,636
196,paternal ancestor,637
196,paternal ancestor,638
196,paternal ancestor,640
196,paternal ancestor,639
196,paternal grandfather,193
196,maternal grandfather,466
196,maternal grandmother,467
196,father,486
196,mother,469
196,maternal aunt,468
196,maternal uncle by marriage,197
196,maternal first cousin,470
196,maternal aunt,429
196,maternal uncle by marriage,430
196,maternal first cousin,471
196,wife,632
196,son,473
196,sister-in-law,204
196,Malfoy family,633
196,maternal family,312
196,in-laws,634
197,ancestor,642
197,ancestor,643
197,ancestor,644
197,relative,199
197,brother,249
197,wife,645
197,stepdaughter,470
197,sister-in-law,429
197,brother-in-law,603
197,sister-in-law,469
197,brother-in-law,192
197,niece,427
197,nephew,472
197,father-in-law,466
197,mother-in-law,467
197,Lestrange family,646
198,ancestor,642
198,ancestor,643
198,ancestor,644
198,possible son,249
198,possible son,197
198,possible daughter-in-law,468
199,father,647
199,mother,648
199,stepmother/first cousin once removed,649
199,half-brother,650
199,half-brother,647
199,fiancé,91
199,grandfather,647
199,grandmother,651
199,Lestrange family,646
199,Kama family,652
200,Father,362
200,Mother,363
200,uncle,653
200,Grandmother,371
201,father,466
201,mother,467
201,sister,429
201,sister,469
201,daughter,470
201,husband,197
201,paternal grandfather,463
201,paternal grandmother,464
201,paternal uncle,227
201,paternal aunt,225
201,paternal first cousin,605
201,paternal first cousin,606
201,paternal uncle,235
201,brother-in-law,603
201,niece,427
201,nephew-in-law,487
201,great-nephew,604
201,brother-in-law,192
201,nephew,472
201,niece-in-law,632
201,great-nephew,473
201,maternal family,616
201,distant relatives,340
201,brother-in-law,249
201,in-laws,646
201,paternal relatives,312
202,possibly,50
202,possibly,51
203,possible relative,654
204,sister,632
204,brother-in-law,472
204,nephew,473
204,Unnamed ancestor,655
205,father,656
205,mother,657
206,ancestor,168
206,ancestor,623
206,sister,658
206,brother-in-law,659
206,niece,597
206,grand-niece,598
206,grand-niece,599
206,adoptive grand-nephew,578
206,adoptive grand-nephew,579
206,nephew-in-law,660
206,Gaunt family,661
207,ancestor,168
207,relative,206
207,relative,658
207,descendant,600
207,descendant,601
207,ancestor,623
207,descendant,602
207,descendant,335
207,descendant,470
208,twin brother,209
209,twin brother,208
210,possible relative,662
210,possible relative,663
210,Flint family,664
211,Father,362
211,Mother,363
211,husband,665
211,mother-in-law,514
211,father-in-law,515
211,son,517
211,daughter,518
212,possibly,666
212,possibly,667
212,possibly,668
212,possibly,669
212,Farley family,670
214,twin sister,215
214,likely,216
214,likely,217
215,twin sister,214
215,likely,216
215,likely,217
216,sister,217
216,possibly,215
216,possibly,214
217,brother,216
217,likely,215
217,likely,214
218,possibly,671
218,possibly,672
218,possibly,633
219,possible relative,673
220,Mother,363
220,Father,362
223,possibly,674
223,possibly,224
223,possibly,675
224,possibly,674
224,possibly,675
224,possibly,223
225,paternal grandfather,459
225,paternal grandmother,460
225,father,463
225,mother,464
225,brother,235
225,brother,466
225,sister-in-law,467
225,paternal aunt,234
225,cousin,676
225,paternal uncle,677
225,paternal aunt,332
225,paternal uncle by marriage,331
225,Male paternal cousin,678
225,husband/second cousin,227
225,son/second cousin once removed,70
225,son/second cousin once removed,465
225,father-in-law/first cousin once removed,461
225,mother-in-law,462
225,sister-in-law/second cousin,348
225,brother-in-law,347
225,niece,468
225,niece,429
225,niece,469
226,paternal/maternal great-great-grandfather,228
226,father/second cousin once removed,227
226,mother/second cousin once removed,225
226,brother/third cousin,605
226,paternal grandfather,461
226,paternal grandmother,462
226,maternal grandfather,463
226,maternal grandmother,464
226,maternal first cousin,468
226,maternal first cousin,429
226,maternal first cousin,469
226,maternal uncle,235
226,maternal uncle,232
226,maternal aunt,467
226,paternal aunt,679
226,paternal uncle by marriage,347
226,House of Black,312
227,father,461
227,mother,462
227,sister,348
227,wife/second cousin,225
227,son/second cousin once removed,70
227,son/second cousin once removed,606
227,grandfather,457
227,grandmother,458
227,father-in-law/first cousin once removed,463
227,mother-in-law,464
227,brother-in-law,347
227,brother-in-law/second cousin,235
227,brother-in-law/second cousin,466
227,niece,468
227,niece,429
227,niece,469
227,uncle,680
227,aunt,681
227,House of Black,312
228,possible grandfather,682
228,possible grandmother,683
228,possible father,684
228,possible mother,685
228,brother,686
228,sister,687
228,sister,688
228,brother-in-law,689
228,possible aunt,690
228,possible uncle by marriage,691
228,possible uncle,692
228,wife,456
228,son,457
228,daughter-in-law,458
228,son,693
228,son,459
228,daughter-in-law,460
228,daughter,694
228,son-in-law,672
228,son,382
228,daughter-in-law,383
228,grandson,461
228,granddaughter,681
228,grandson,680
228,grandson,463
228,granddaughter,234
228,grandson,677
228,granddaughter,332
228,Two grandsons,695
228,Granddaughter,506
228,granddaughter,388
228,granddaughter,325
228,granddaughter,385
228,House of Black,312
229,paternal great-grandfather,228
229,paternal great-grandmother,456
229,paternal grandfather,457
229,paternal grandmother,458
229,father,461
229,mother,462
229,brother,227
229,sister-in-law/paternal second cousin,225
229,paternal aunt,681
229,paternal uncle,680
229,husband,347
229,brother-in-law,344
229,sister-in-law,345
229,nephew/paternal second cousin once removed,70
229,nephew/paternal second cousin once removed,465
229,niece,285
229,nephew,353
229,nephew,354
229,House of Black,312
229,Prewett family,696
230,paternal grandfather,228
230,paternal grandmother,456
230,father,382
230,mother,383
230,sister,388
230,brother-in-law,387
230,sister,325
230,brother-in-law,324
230,paternal uncle,457
230,paternal aunt by marriage,458
230,paternal first cousin,461
230,paternal first cousin,681
230,paternal first cousin,680
230,paternal uncle,693
230,paternal uncle,459
230,paternal aunt by marriage,460
230,paternal first cousin,463
230,paternal first cousin,234
230,paternal first cousin,677
230,paternal first cousin,332
230,paternal aunt,694
230,paternal uncle by marriage,672
